Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Hyundai,Solaris,Sedan,2016,Gasoline,1.6 L,Automatic,Front Wheel Drive,"22,000 km",Car is not damaged,,Left,Yes,White,R15,Хenon Headlights,Black,Leatherette,No,"Air conditioner, cruise control, tinted windows","$11,000"
Honda,Accord,Sedan,2021,Gasoline,2.0 L,Automatic,Front Wheel Drive,"12,000 km",Car is not damaged,,Left,No,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$28,000"
Opel,Astra,Hatchback,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"260,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","$5,200"
Ford,Fusion (North America),Sedan,2013,Gasoline,1.6 L,Automatic,Front Wheel Drive,"120,000 miles",Car is not damaged,,Left,No,Black,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$8,450"
Lexus,GX,SUV / Crossover,2011,Gasoline,4.6 L,Automatic,All Wheel Drive,"106,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$38,500"
Nissan,Sentra,Sedan,2013,Gasoline,1.8 L,Automatic,Front Wheel Drive,"108,000 miles",Car is not damaged,Installed,Left,Yes,Black,R17,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$9,800"
Kia,Rio,Sedan,2019,Gasoline,1.6 L,Automatic,Front Wheel Drive,"38,000 km",Car is not damaged,,Left,Yes,Silver,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$14,600"
Mercedes-Benz,Vito,Minivan,2000,Gasoline,2.8 L,Automatic,Front Wheel Drive,"249,900 km",Car is not damaged,Installed,Left,Yes,White,R16,LED Headlights,Beige,Leather,Regular Sunroof,,"$7,000"
Honda,Accord,Sedan,2016,Gasoline,2.4 L,Automatic,Front Wheel Drive,"46,000 km",Car is not damaged,,Left,Yes,White,R19,LED Headlights,Black,Leather,No,,"$18,500"
Opel,Astra,Hatchback,2001,Gasoline,1.6 L,Manual,Front Wheel Drive,"262,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,LED Headlights,Black,Textile,No,Air conditioner,"$4,900"
Mitsubishi,Pajero,SUV / Crossover,2018,Gasoline,3.8 L,Automatic,All Wheel Drive,"71,000 km",Car is not damaged,,Left,Yes,White,R20,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control","$26,300"
Mercedes-Benz,Maybach S-Class,Sedan,2014,Gasoline,4.7 L,Automatic,Rear Wheel Drive,"150,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Beige,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$68,000"
Ford,Transit,Van,2011,Diesel,2.2 L,Manual,Front Wheel Drive,"135,000 km",Car is not damaged,,Left,Yes,White,R15,Halogen Headlights,White,Textile,No,Air conditioner,"$12,000"
Nissan,Rogue,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,All Wheel Drive,"65,000 km",Car is not damaged,,Left,Yes,Red,R16,Halogen Headlights,Black,Leatherette,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$18,000"
BMW,4 Series,Sedan,2018,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"86,000 km",Car is not damaged,,Left,Yes,Gray,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$27,500"
Suzuki,Kizashi,Sedan,2010,Gasoline,2.4 L,Automatic,All Wheel Drive,"140,435 km",Car is not damaged,Installed,Left,Yes,White,R17,Halogen Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control","$8,700"
Toyota,Camry,Sedan,2021,Gasoline,2.5 L,Automatic,Front Wheel Drive,"55,000 km",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Gray,Leather,No,,"$36,500"
Toyota,Camry,Sedan,2010,Gasoline,2.5 L,Automatic,Front Wheel Drive,"141,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,LED Headlights,Gray,Other,No,"Air conditioner, heated seats, tinted windows","$9,800"
Toyota,Camry,Sedan,2021,Gasoline,2.5 L,Automatic,Front Wheel Drive,"27,000 km",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$30,000"
BMW,3 Series,Sedan,1999,Gasoline,1.9 L,Manual,Rear Wheel Drive,"213,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","2,200,000 ֏"
Mazda,3,Hatchback,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"28,000 miles",Car is not damaged,,Left,Yes,Red,R18,LED Headlights,Red,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$17,300"
Kia,Forte,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"66,500 km",Car is not damaged,,Left,Yes,White,R17,Хenon Headlights,Black,Other,No,"Air conditioner, heated seats, cruise control","$20,300"
Opel,Astra,Wagon,2004,Gasoline,1.6 L,Manual,Front Wheel Drive,"203,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,Halogen Headlights,Gray,Other,Regular Sunroof,"Cruise control, tinted windows","$5,650"
Toyota,Camry,Sedan,2013,Gasoline,2.5 L,Automatic,Front Wheel Drive,"110,000 miles",Car is not damaged,Installed,Left,Yes,Black,R17,Halogen Headlights,Beige,Alcantara,Regular Sunroof,,"$15,000"
Volvo,XC90,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"106,000 km",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$44,500"
Mercedes-Benz,GL-Class,SUV / Crossover,2009,Gasoline,4.7 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,,Left,Yes,Black,R22,Хenon Headlights,Beige,Leather,Regular Sunroof,,"$17,900"
Mercedes-Benz,S-Class,Sedan,2000,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"223,000 km",Car is not damaged,Installed,Left,Yes,Silver,R19,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$9,500"
Ford,Mustang,Convertible,2019,Gasoline,2.3 L,Automatic,Rear Wheel Drive,"42,000 miles",Car is damaged,,Left,Yes,White,R20,Хenon Headlights,Black,Other,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$15,500"
